# ra dec snr
2.227830266917553104e+02 -5.840084884710793744e+01 3.761946837442933855e+01
2.227830266917553104e+02 -5.840084884710793744e+01 3.761946837442933855e+01
8.620971862120399010e+01 -6.948972088168916628e+01 6.842558180080595243e+00
8.620971862120399010e+01 -6.948972088168916628e+01 6.842558180080595243e+00
8.620971862120399010e+01 -6.948972088168916628e+01 6.842558180080595243e+00
8.620971862120399010e+01 -6.948972088168916628e+01 6.842558180080595243e+00
8.620971862120399010e+01 -6.948972088168916628e+01 6.842558180080595243e+00
2.769649243368268117e+02 -1.080900811102903170e+01 2.901227214341508898e+01
2.769649243368268117e+02 -1.080900811102903170e+01 2.901227214341508898e+01
2.769649243368268117e+02 -1.080900811102903170e+01 2.901227214341508898e+01
2.769649243368268117e+02 -1.080900811102903170e+01 2.901227214341508898e+01
2.769649243368268117e+02 -1.080900811102903170e+01 2.901227214341508898e+01
2.492917400078738694e+02 -4.663365649022782122e+01 8.044822315297395221e+01
2.492917400078738694e+02 -4.663365649022782122e+01 8.044822315297395221e+01
2.492917400078738694e+02 -4.663365649022782122e+01 8.044822315297395221e+01
2.492917400078738694e+02 -4.663365649022782122e+01 8.044822315297395221e+01
2.492917400078738694e+02 -4.663365649022782122e+01 8.044822315297395221e+01
2.547029483953369322e+02 -3.971989247672019729e+01 1.989352842330742988e+01
2.547029483953369322e+02 -3.971989247672019729e+01 1.989352842330742988e+01
2.547029483953369322e+02 -3.971989247672019729e+01 1.989352842330742988e+01
2.547029483953369322e+02 -3.971989247672019729e+01 1.989352842330742988e+01
2.547029483953369322e+02 -3.971989247672019729e+01 1.989352842330742988e+01
1.319877006998919811e+01 -7.254962381174506447e+01 1.529865848066134681e+01
1.319877006998919811e+01 -7.254962381174506447e+01 1.529865848066134681e+01
