# t, hp, hx
1.071225035199999898e+00 -4.358387742000000009e-01 -3.212343607200000006e-01
1.071306568000000015e+00 -4.368931645999999946e-01 -3.123537214900000136e-01
1.071388100000000065e+00 -4.379961196600000162e-01 -3.067006070600000189e-01
1.071469631100000042e+00 -4.385426742999999905e-01 -3.068365728699999906e-01
1.071551161199999935e+00 -4.383818152399999724e-01 -3.116580532100000078e-01
1.071632690299999968e+00 -4.379319955000000042e-01 -3.180664277999999956e-01
1.071714218199999902e+00 -4.373158567400000085e-01 -3.242607945700000105e-01
1.071795744999999966e+00 -4.364367756599999981e-01 -3.272631813199999851e-01
1.071877270799999948e+00 -4.358852268300000277e-01 -3.245140926699999762e-01
1.071958795500000061e+00 -4.357731621500000041e-01 -3.177321817900000123e-01
1.072039946499999896e+00 -4.359865978499999906e-01 -3.105169357500000005e-01
1.072121469100000057e+00 -4.364064289899999838e-01 -3.065963820500000048e-01
1.072202990599999906e+00 -4.364153561199999865e-01 -3.081709992500000217e-01
1.072284511099999893e+00 -4.357808491299999809e-01 -3.142907098900000196e-01
1.072366030400000003e+00 -4.348766539700000266e-01 -3.215494073099999794e-01
1.072447548700000031e+00 -4.342492776399999865e-01 -3.259266667999999867e-01
1.072529065999999975e+00 -4.343692333199999922e-01 -3.247929468899999894e-01
1.072610582400000068e+00 -4.357296541799999812e-01 -3.188766206800000003e-01
1.072692097800000077e+00 -4.379394095399999909e-01 -3.130638043399999737e-01
1.072773612300000012e+00 -4.392222425899999783e-01 -3.130818077299999946e-01
1.072855125800000087e+00 -4.387557380500000104e-01 -3.182099682499999749e-01
1.072936638200000070e+00 -4.372164469500000039e-01 -3.217560531499999987e-01
1.073017932499999993e+00 -4.360859548200000102e-01 -3.212012018500000066e-01
1.073099443000000042e+00 -4.368827930899999989e-01 -3.204062093899999741e-01
1.073180952600000015e+00 -4.388231151599999991e-01 -3.210685256599999926e-01
1.073262461099999898e+00 -4.395491370899999861e-01 -3.201035093599999826e-01
1.073343968399999904e+00 -4.382770322899999793e-01 -3.171099631500000071e-01
1.073425474600000040e+00 -4.362928585799999981e-01 -3.145515060099999816e-01
1.073506979700000086e+00 -4.356241741399999867e-01 -3.131510752900000250e-01
1.073588483700000040e+00 -4.362934847000000116e-01 -3.125034042000000012e-01
1.073669986599999904e+00 -4.368445565599999858e-01 -3.129095034900000183e-01
1.073751488299999890e+00 -4.369635547299999812e-01 -3.145930392599999847e-01
1.073832989000000016e+00 -4.370059243500000190e-01 -3.172767353900000087e-01
1.073914488600000050e+00 -4.373095194700000188e-01 -3.192636927999999985e-01
1.073995987400000018e+00 -4.382266856900000063e-01 -3.189191663000000010e-01
1.074077422900000078e+00 -4.392152261400000257e-01 -3.173671042299999745e-01
1.074158919899999898e+00 -4.389229996399999778e-01 -3.152201908799999730e-01
1.074240416000000087e+00 -4.382578688800000122e-01 -3.127861123999999826e-01
1.074321911199999979e+00 -4.379934084500000102e-01 -3.120731186999999851e-01
1.074403405400000011e+00 -4.373205084899999817e-01 -3.137334439700000255e-01
